r_id,r_name,old_cat,parent_cat,subcategory,classification_notes,additional_info,link
EMA indication of,EMA indication of (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
End date of,End date of,ATTRIBUTE,,,,,
Endocrine tx of,Endocrine therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Energy used by,Energy used by (SNOMED),METADATA,Attribute,Characteristic,,Using energy (attribute) refers to the energy used to execute an action.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#using-energy
Episodicity of,Episodicity of (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""","represent episodes of care provided by a physician or other healthcare provider, not episodes of disease experienced by the patient",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#episodicity
ETC - RxNorm,ETC to RxNorm (FDB),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ETC - RxNorm name,ETC to RxNorm equivalent by concept_name (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Etiology of,Etiology of (SNOMED),INTERACTION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Excipient of,Excipient of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Excluded in map from,Standard to Non-standard exclude child (OMOP),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Extent of,Extent of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
FDA indication of,FDA indication of (HemOnc),ATTRIBUTE,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
FDA labeling of,FDA labeling of (HemOnc),ATTRIBUTE,,,,,
FDB Ind - ICD9CM,FDB Indication/Contraindication to ICD-9-CM (FDB),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Filling of,Filling material of (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the material or substance that fills an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-filling
Finding asso with,Finding associated with (SNOMED),METADATA,,,,,
Finding context of,Finding context of (SNOMED),ATTRIBUTE,,,,,
Finding inform of,Finding informer of (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""",Specifies the person or other entity from which the clinical finding information was obtained. It is not about the particular individual but about the category or type of informer. It is used to differentiate patient-reported symptoms from provider-determined signs.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-informer
Finding method of,Finding method of (SNOMED),ATTRIBUTE,Attribute,Diagnostic,"All listed as ""Clinical Finding and Disorder""",Specifies the means by which a clinical finding was determined. It includes findings that were determined by examination of the patient.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-method
Finding site of,Finding site of (SNOMED),ATTRIBUTE,Attribute,Spatial,"All listed as ""Clinical Finding and Disorder""",Specifies the body site affected by a condition.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-site
Flavor of,Flavor of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Focus of,Focus of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,Has focus (attribute) specifies the Clinical finding or Procedure which is the focus of a procedure. This attribute is self-grouped.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#has-focus
Followed by,Followed by (SNOMED),METADATA,,,,,
Follows,Follows (SNOMED),METADATA,,,,,
Form continuity of,Dose form continuity indicator (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Form of,Form of (RxNorm),ATTRIBUTE,,,,,
Free indicator of,NHS dm+d freenes indicator of,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Freq Code - Typ bill,Frequency code to Typ bill Full (UB04),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Growth factor of,Growth factor of (HemOnc),ATTRIBUTE,,,,,
Growth factor Rx of,Growth factor Rx of (HemOnc),ATTRIBUTE,,,,,
Had accepted for,Had accepted for (HemOnc),UNCATEGORISED,,,,,
Had accepted use,Had accepted use (HemOnc),UNCATEGORISED,,,,,
Has AB-drug cjgt,Has antibody-drug conjugate (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has AB-drug cjgt Rx,Has antibody-drug conjugate - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has absorbability,Has absorbability (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the absorbability aspect of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-absorbability
Has accepted use,Has accepted use (HemOnc),ATTRIBUTE,Attribute,Clinical,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has access,Has access (SNOMED),ATTRIBUTE,Attribute,Procedure,,"Access (attribute) describes the route used to access the site of a procedure. It distinguishes open, closed, and percutaneous procedures.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index
Has active ing,Has active ingredient (SNOMED),COMPOSITION,Composition,Ingredient,,A medicinal product concept has a set of active ingredient substance(s) responsible for providing the therapeutic effect of the medicinal product and which are described using the clinically relevant part or whole of the substance that is intended to have a therapeutic action on or within the body,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/pharmaceutical-and-biologic-product-and-dose-form-attributes-summary/ingredient-substance-attributes#has-active-ingredient
Has add monitor ind,Has NHS dm+d (dictionary of medicines and devices) additional monitoring indicator,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has admin method,Has dose form administration method (SNOMED),ATTRIBUTE,Attribute,,,,
Has AMP,Has Actual Medicinal Product (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has AMP restr ind,Has NHS dm+d (dictionary of medicines and devices) AMP (actual medicinal product) availability restriction indicator,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has Answer,Has Answer,ATTRIBUTE,,,,,
Has answer (PPI),Has answer (PPI),ATTRIBUTE,,,,,
Has anticoag Rx,Has anticoag Rx (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has anticoag tx,Has anticoag tx (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has antineopl Rx,Has antineoplastic - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has antineoplastic,Has antineoplastic (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Has approach,Has Approach (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has ARP,Has ARP (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Has asso finding,Has associated finding (SNOMED),ATTRIBUTE,Composition,Clinical,,,
Has asso morph,Has associated morphology (SNOMED),ATTRIBUTE,Attribute,Morphology,"All listed as ""Clinical Finding and Disorder""",specifies the morphologic changes seen at the tissue or cellular level that are characteristic of a disease.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#associated-morphology
Has asso proc,Has associated procedure (SNOMED),ATTRIBUTE,Attribute,,,,
